"student_id","semester","gpa","sleep_hours","study_hours","exercise_days","caffeine_mg","supervisor_meetings","wellbeing"
"S0146",2,3.38,7.7,31,5,245,8,77
"S0146",3,3.21,7.5,30,5,175,3,71
"S0146",4,3.17,7.3,26,7,130,2,69
"S0147",1,2.52,7.7,4,5,95,0,70
"S0147",2,2.73,7.7,13,5,100,5,76
"S0147",3,2.49,7.3,14,3,70,0,74
"S0147",4,2.76,7.2,12,0,70,1,57
"S0148",1,3.1,5.3,26,1,550,6,64
"S0148",2,3.05,6.1,21,2,420,9,66
"S0148",3,3.33,6.2,29,5,375,14,80
"S0148",4,2.97,5.6,18,7,375,3,72
"S0149",1,3.17,5.5,33,2,430,5,39
"S0149",2,3.45,5.9,31,2,325,5,42
"S0149",3,3.23,5.6,31,2,280,3,44
"S0149",4,3.28,5.4,30,1,255,9,46
"S0150",1,3.42,5.8,39,1,270,3,35
"S0150",2,3.05,5.5,30,5,265,1,45
"S0150",3,2.96,5.4,26,1,180,1,48
"S0150",4,3.14,5.9,42,0,245,0,38
"S0151",1,2.92,7.5,21,5,135,2,85
"S0151",2,3.08,,29,5,105,6,79
"S0151",3,3.11,7.1,27,3,100,4,79
"S0151",4,3.27,7.7,22,7,115,7,86
"S0152",1,2.79,5.9,46,0,250,4,49
"S0152",2,2.73,6.1,42,2,235,4,43
"S0152",3,2.55,5.2,42,1,530,6,48
"S0152",4,2.84,5.7,36,0,275,6,52
"S0153",1,3.46,7.3,38,2,180,0,64
"S0153",2,3.12,7.6,43,1,155,0,64
"S0153",3,3.5,7,28,2,160,1,52
"S0153",4,3.19,6.9,40,1,205,2,55
"S0154",1,3.17,5,45,1,375,4,58
"S0154",2,3.19,4.7,40,2,305,1,58
"S0154",3,3.58,4.7,41,2,265,6,54
"S0154",4,3.35,5.9,44,0,225,2,57
"S0155",1,3.27,6.9,24,4,165,7,55
"S0155",2,3.11,6.8,21,1,130,2,66
"S0155",3,3.33,6.7,12,1,120,6,57
"S0155",4,3.08,6.1,24,4,205,3,59
"S0156",1,2.53,5.3,38,3,690,4,61
"S0156",2,2.87,4.7,41,1,625,4,62
"S0156",3,2.78,5,31,0,640,7,54
"S0156",4,2.93,5.9,40,3,585,2,69
"S0157",1,2.62,5,34,0,495,2,67
"S0157",2,2.71,5.2,22,3,265,2,68
"S0157",3,2.71,6.6,34,1,285,1,74
"S0157",4,2.9,,28,3,260,2,64
"S0158",1,3.93,7.5,23,2,55,12,76
"S0158",2,3.63,7.4,21,6,65,5,77
"S0158",3,3.86,7.2,20,3,50,0,70
"S0158",4,3.67,7.3,23,4,65,8,73
"S0159",1,3.91,7.1,17,2,145,10,70
"S0159",2,3.66,6.2,23,1,130,10,73
"S0159",3,3.8,6.1,24,3,220,15,73
"S0159",4,3.63,7,29,3,200,15,71
"S0160",1,2.84,7.2,8,5,0,4,58
"S0160",2,2.8,6.9,11,3,0,4,53
"S0160",3,2.82,6.3,9,2,0,6,49
"S0160",4,2.81,6.7,9,2,0,4,44
"S0161",1,2.88,5.6,49,3,310,2,54
"S0161",2,3.43,5.8,41,1,310,5,60
"S0161",3,3.06,6.6,44,3,245,3,51
"S0161",4,3.22,5.6,46,4,365,5,49
"S0162",1,2.69,5.9,21,1,150,3,74
"S0162",2,2.51,5.6,29,2,220,3,75
"S0162",3,2.65,5,25,1,265,1,79
"S0162",4,2.69,6,23,4,200,2,74
"S0163",1,3.45,6.9,37,2,165,1,54
"S0163",2,3.11,6.4,31,2,165,4,55
"S0163",3,3.22,7.1,34,1,200,5,53
"S0163",4,3.53,6.5,25,1,245,1,50
"S0164",1,3.41,7.5,30,7,150,3,55
"S0164",2,2.98,7.4,31,6,150,3,66
"S0164",3,3.59,8.6,33,5,150,4,71
"S0164",4,3.33,7.5,32,7,110,3,59
"S0165",1,3.38,4.6,32,2,675,7,48
"S0165",2,3,3.9,42,3,375,6,53
"S0165",3,3.47,4.1,45,5,510,2,52
"S0165",4,3.15,4.8,41,1,390,3,51
"S0166",1,3.51,7.5,26,2,65,7,74
"S0166",2,3.27,6.8,25,1,80,6,83
"S0166",3,3.39,6.3,,1,100,7,77
"S0166",4,3.4,6.3,23,4,60,9,77
"S0167",1,3.32,5.3,42,2,230,7,39
"S0167",2,3.02,5.9,45,1,205,7,53
"S0167",3,3.42,5.7,39,0,245,5,55
"S0167",4,3.34,5.5,37,1,205,5,57
"S0168",1,3.05,6.8,19,1,105,5,65
"S0168",2,3.34,6.8,33,2,90,6,72
"S0168",3,2.95,5.8,29,4,105,4,72
"S0168",4,3.41,,17,5,75,1,60
"S0169",1,3.42,8.1,36,6,100,8,65
"S0169",2,3.3,8.2,19,2,110,4,71
"S0169",3,3.33,8.1,28,3,115,2,71
"S0169",4,3.81,8.4,28,0,90,4,73
"S0170",1,3.3,7.6,23,4,110,3,66
"S0170",2,3.37,6.8,22,3,85,4,82
"S0170",3,3.42,6.5,27,4,95,8,77
"S0170",4,3.45,7.1,24,5,100,3,72
"S0171",1,3.2,6,14,7,135,4,68
"S0171",2,2.98,5.8,8,6,115,2,76
"S0171",3,3.43,6.8,8,6,100,5,69
"S0171",4,3.48,6.9,11,4,120,8,77
"S0172",1,3.17,6.3,31,0,315,5,60
"S0172",2,3.31,6,34,5,240,4,55
"S0172",3,3.09,6.1,32,2,350,9,61
"S0172",4,3.24,5.5,22,5,285,6,65
"S0173",1,3.27,7.5,11,2,115,5,74
"S0173",2,3.04,7.7,15,2,230,6,81
"S0173",3,2.7,7.4,8,4,130,2,72
"S0173",4,2.73,7.6,14,5,165,3,75
"S0174",1,2.78,5.4,42,2,415,1,48
"S0174",2,2.38,5.6,37,0,375,2,54
"S0174",3,2.39,5.5,40,0,350,6,45
"S0174",4,2.65,5.9,42,2,310,3,46
"S0175",1,3.47,7.3,32,1,210,5,87
"S0175",2,3.66,7.4,35,0,,6,84
"S0175",3,3.44,7.1,21,2,225,8,83
"S0175",4,3.45,7.2,25,3,260,6,85
"S0176",1,2.75,5.9,22,3,180,4,54
"S0176",2,2.56,6.4,24,3,150,8,69
"S0176",3,2.96,5.8,29,1,165,6,56
"S0176",4,2.73,5.7,24,0,175,4,53
"S0177",1,3.48,5.1,52,1,625,2,57
"S0177",2,3.44,6.1,37,1,450,3,67
"S0177",3,3.33,5,51,1,545,1,68
"S0177",4,3.16,4.9,39,2,555,1,67
"S0178",1,3.05,7.4,16,5,135,3,68
"S0178",2,2.72,7.3,17,4,150,6,61
"S0178",3,2.67,7.7,16,4,110,4,66
"S0178",4,2.86,7.2,18,2,110,2,55
"S0179",1,2.47,6.6,15,1,110,3,66
"S0179",2,2.38,6.4,13,1,140,3,73
"S0179",3,2.12,6.1,10,0,170,4,64
"S0179",4,2.69,6.6,17,2,135,1,71
"S0180",1,2.89,5.2,38,0,540,1,40
"S0180",2,3.09,5.1,45,3,380,2,40
"S0180",3,2.94,4.4,41,2,425,3,41
"S0180",4,2.99,4.9,37,4,500,6,36
"S0181",1,3.37,9.8,2,5,30,7,79
"S0181",2,3.23,10,2,5,25,2,80
"S0181",3,3.44,9.5,2,5,30,1,81
"S0181",4,3.45,9.4,3,6,20,2,81
"S0182",1,3.37,7,29,2,155,5,43
"S0182",2,3.21,6.6,28,0,135,4,55
"S0182",3,3.39,6.7,29,1,130,3,57
"S0182",4,3.27,7.8,28,4,125,2,67
"S0183",1,3.11,5.4,47,1,275,9,65
"S0183",2,3.27,5.6,49,2,225,9,51
"S0183",3,2.84,5.6,50,2,415,7,56
"S0183",4,3.31,6,55,3,230,9,62
"S0184",1,3.79,7.7,21,0,105,4,79
"S0184",2,3.49,7.8,21,6,160,7,74
"S0184",3,3.53,6.7,18,4,125,4,67
"S0184",4,3.53,6.9,17,5,110,2,74
"S0185",1,2.94,7.2,18,3,135,3,66
"S0185",2,2.95,7.7,25,5,115,4,78
"S0185",3,2.87,7.5,26,6,125,4,74
"S0185",4,2.86,7.5,22,4,130,4,70
"S0186",1,2.8,5.9,54,2,285,1,55
"S0186",2,2.41,6.2,52,2,265,7,64
"S0186",3,2.93,5.7,60,2,310,5,52
"S0186",4,2.59,5.9,46,2,200,3,54
"S0187",1,3.04,6.1,10,0,155,2,49
"S0187",2,2.98,5.8,11,0,150,3,55
"S0187",3,2.88,6,11,0,120,0,59
"S0187",4,2.86,5.8,15,1,130,4,59
"S0188",1,2.33,6.6,8,5,125,3,44
"S0188",2,2.82,5.9,17,5,110,2,52
"S0188",3,2.78,7.2,12,3,80,5,57
"S0188",4,2.65,5.9,15,2,90,7,48
"S0189",1,3.15,7.4,22,0,135,6,62
"S0189",2,2.96,7.7,19,1,,5,72
"S0189",3,3.08,6.7,17,5,90,1,61
"S0189",4,2.74,7.5,12,2,115,2,65
"S0190",1,3.04,5,49,2,285,5,46
"S0190",2,2.77,5.9,48,2,230,2,56
"S0190",3,2.7,5.7,53,2,245,5,50
"S0190",4,2.63,5.1,46,4,310,4,55
"S0191",1,3.07,5.6,31,3,140,2,64
"S0191",2,3.29,5.7,30,4,140,7,65
"S0191",3,3.35,5.5,32,3,130,5,60
"S0191",4,3.58,6.6,29,2,155,7,69
"S0192",1,3.52,8,33,7,80,10,71
"S0192",2,3.44,7.6,30,7,110,9,83
"S0192",3,3.31,8,33,7,100,4,73
"S0192",4,3.5,8.1,37,,70,4,73
"S0193",1,3.46,7.6,28,3,95,3,72
"S0193",2,3.55,7.5,22,4,105,3,77
"S0193",3,3.63,8.3,34,5,100,3,84
"S0193",4,3.77,8.6,24,1,130,4,70
"S0194",1,3.37,,46,2,140,4,65
"S0194",2,3.25,5.9,41,1,155,6,71
"S0194",3,3.28,6.2,39,1,115,3,74
"S0194",4,3.08,6.5,34,2,165,4,72
"S0195",1,2.74,3.6,59,0,840,3,58
"S0195",2,2.93,3.5,62,0,900,4,77
"S0195",3,2.85,4.2,62,0,730,8,78
"S0195",4,2.85,3.5,63,0,900,2,68
"S0196",1,3.05,5.3,48,2,0,1,51
"S0196",2,2.57,5.3,30,2,0,1,58
"S0196",3,2.77,5.4,36,2,0,2,61
"S0196",4,2.8,5.6,37,0,0,0,68
"S0197",1,2.91,6.9,16,0,60,8,93
"S0197",2,2.5,6.1,16,3,90,10,82
"S0197",3,2.88,6.7,22,5,,13,87
"S0197",4,2.84,6.5,21,2,120,5,80
"S0198",1,3.03,6.9,15,2,155,4,54
"S0198",2,2.86,6.3,13,2,180,2,52
"S0198",3,2.84,6.1,12,5,175,6,61
"S0198",4,2.88,6.3,13,4,220,4,54
"S0199",1,3.44,6.7,,2,120,4,73
"S0199",2,3.65,6.7,42,4,125,4,65
"S0199",3,3.38,6.4,44,3,150,3,66
"S0199",4,3.78,7.1,35,4,90,4,72
"S0200",1,3.37,5.8,38,1,330,2,45
"S0200",2,3.08,5.7,38,4,320,0,55
"S0200",3,2.9,6.1,31,0,355,0,53
"S0200",4,3.27,5.6,48,1,540,1,49
"S0201",1,2.86,5.3,34,2,190,6,60
"S0201",2,2.89,4.8,23,5,235,2,80
"S0201",3,2.89,5.4,28,2,300,2,65
"S0201",4,2.65,5.2,41,2,280,5,57
"S0202",1,3.04,5.9,35,2,0,1,49
"S0202",2,2.49,5.6,30,1,0,5,59
"S0202",3,2.86,6.9,31,1,0,5,56
"S0202",4,3.18,6.7,40,3,0,1,57
"S0203",1,2.99,7.4,7,1,150,1,54
"S0203",2,3.02,6.8,14,0,175,2,58
"S0203",3,2.98,6.8,22,1,180,1,58
"S0203",4,3.32,7.5,17,2,185,0,47
"S0204",1,2.93,5.4,36,1,245,1,60
"S0204",2,3.26,6.2,45,5,180,1,56
"S0204",3,2.93,,44,1,335,2,49
"S0204",4,3.34,5.6,46,2,270,2,44
"S0205",1,2.92,6.7,19,2,195,3,63
"S0205",2,3.02,6.2,13,0,180,0,64
"S0205",3,2.89,6.9,16,1,180,5,66
"S0205",4,3.13,6.5,14,2,180,2,60
"S0206",1,3.15,8.1,,3,125,6,54
"S0206",2,3.19,8.3,14,4,115,4,57
"S0206",3,3.27,7.8,12,3,145,3,48
"S0206",4,3.12,7.9,11,7,105,7,57
"S0207",1,3.29,5.8,45,1,270,3,47
"S0207",2,2.9,5.1,46,1,265,3,42
"S0207",3,3.04,5,51,1,305,0,43
"S0207",4,3.12,5.9,37,3,185,2,54
"S0208",1,3.32,7.3,28,2,165,3,91
"S0208",2,3.44,7.7,34,2,145,3,91
"S0208",3,3.4,7,37,1,135,1,84
"S0208",4,3.22,7.2,32,3,190,1,87
"S0209",1,3.21,6.3,38,0,150,6,36
"S0209",2,3.06,5.6,35,0,120,2,45
"S0209",3,3.24,6.3,38,1,105,7,44
"S0209",4,3.5,5.6,40,1,190,2,53
"S0210",1,3.5,7.6,9,0,100,3,76
"S0210",2,3.94,7.5,17,1,145,6,71
"S0210",3,3.79,8,18,0,145,6,79
"S0210",4,3.28,8.1,7,1,175,6,75
"S0211",1,3,4.8,45,0,320,2,47
"S0211",2,2.95,4.8,45,2,485,3,50
"S0211",3,2.89,4.2,40,0,650,5,48
"S0211",4,2.89,5.6,38,0,295,5,50
"S0212",1,3,7.2,11,1,105,7,67
"S0212",2,2.81,7.6,14,1,145,5,67
"S0212",3,3.22,7.2,17,3,115,11,65
"S0212",4,2.77,7.2,10,1,160,10,63
"S0213",1,3.33,7.4,14,3,105,8,66
"S0213",2,3.29,7.4,6,5,120,13,64
"S0213",3,3.39,7.2,8,1,100,9,70
"S0213",4,3.3,7.3,2,7,110,6,63
"S0214",1,3.61,7.4,18,4,200,3,66
"S0214",2,3.26,6.9,15,6,115,2,64
"S0214",3,3.37,7.4,22,1,160,10,70
"S0214",4,3.41,6.7,24,2,150,6,67
"S0215",1,3.37,7.1,11,0,125,8,60
"S0215",2,3.04,7,5,0,135,6,61
"S0215",3,2.91,6.7,12,2,125,7,53
"S0215",4,2.87,6.9,16,1,120,6,56
"S0216",1,3.89,8.5,31,6,90,7,77
"S0216",2,3.4,7.9,36,3,,7,74
"S0216",3,3.76,7.9,31,5,115,9,63
"S0216",4,3.36,8,28,3,110,10,75
"S0217",1,2.85,6.1,31,5,260,3,66
"S0217",2,3.11,6.8,31,4,220,3,65
"S0217",3,3.3,6.6,26,6,215,1,57
"S0217",4,3.16,6.4,27,2,345,5,60
"S0218",1,3.24,5,41,1,180,4,62
"S0218",2,3.42,6.1,40,2,145,4,69
"S0218",3,3.32,5.1,34,0,235,11,56
"S0218",4,3.11,5,44,1,230,14,42
"S0219",1,3.4,6.1,19,3,70,2,81
"S0219",2,3.57,6.2,20,7,40,4,83
"S0219",3,3.11,6.7,20,3,45,5,83
"S0219",4,3.4,6.9,15,2,50,4,80
"S0220",1,3.15,7.1,28,2,0,1,52
"S0220",2,2.91,7.1,26,0,0,1,65
"S0220",3,2.98,6.9,29,7,0,0,61
"S0220",4,3.01,6.2,24,1,0,0,55
"S0221",1,3.54,9.2,6,7,25,8,81
"S0221",2,3.21,9.5,9,4,30,7,86
"S0221",3,3.44,9.4,2,7,20,13,85
"S0221",4,3.35,9.5,5,7,20,3,94
"S0222",1,2.67,7.4,12,0,160,1,54
"S0222",2,2.57,6.8,9,,180,0,49
"S0222",3,2.35,6.3,13,5,225,0,40
"S0222",4,2.31,7.1,16,6,140,2,35
"S0223",1,3.21,7.2,21,5,120,10,74
"S0223",2,3.29,7.3,25,5,135,6,72
"S0223",3,3.07,7.8,22,7,110,5,77
"S0223",4,3.37,7.5,20,6,100,3,61
"S0224",1,2.89,6.3,17,3,145,0,73
"S0224",2,2.64,6.2,15,7,150,1,66
"S0224",3,3.02,5.8,22,2,145,6,53
"S0224",4,3.09,6.3,15,4,100,0,57
"S0225",1,2.66,6.5,8,5,100,4,71
"S0225",2,2.77,6.5,6,,135,4,62
"S0225",3,2.77,6.3,8,2,150,2,61
"S0225",4,2.57,6.6,8,1,135,7,60
"S0226",1,2.92,6,17,3,,2,54
"S0226",2,2.73,5.8,13,2,100,4,62
"S0226",3,2.62,6.3,6,0,100,1,63
"S0226",4,3.04,6.8,10,0,110,1,79
"S0227",1,3.12,7.1,23,2,,3,60
"S0227",2,3.1,7,27,3,100,5,61
"S0227",3,2.87,7.6,22,2,75,4,69
"S0227",4,2.89,7.6,28,4,95,4,73
"S0228",1,3.02,5.4,38,0,585,3,57
"S0228",2,3.09,5.3,39,0,565,4,50
"S0228",3,3.25,6.3,36,1,455,7,52
"S0228",4,3.14,5.8,40,3,540,9,46
"S0229",1,2.48,5.3,48,1,350,5,43
"S0229",2,2.72,6.1,49,1,215,5,45
"S0229",3,2.68,5.6,48,1,270,1,53
"S0229",4,2.95,5.4,51,1,240,3,41
"S0230",1,3.03,5.3,31,0,675,6,48
"S0230",2,2.98,5,37,2,625,2,58
"S0230",3,3.08,5.6,30,3,640,5,52
"S0230",4,3.31,5.6,40,3,535,6,44
"S0231",1,3.68,7.9,35,3,110,4,67
"S0231",2,3.16,7.7,26,2,95,6,61
"S0231",3,3.41,7.5,30,3,120,5,59
"S0231",4,3.51,7.2,28,3,70,8,56
"S0232",1,3.47,7.4,27,0,340,7,66
"S0232",2,3.6,8.2,26,3,315,10,71
"S0232",3,3.26,8.1,29,2,250,6,73
"S0232",4,3.81,7.6,24,3,230,7,66
"S0233",1,3.05,6.6,24,1,235,3,71
"S0233",2,3.37,6.1,22,4,190,5,77
"S0234",1,3.05,6.6,10,7,65,7,69
"S0234",2,3.08,6.2,17,7,105,6,71
"S0235",1,2.72,5.9,28,3,300,4,58
"S0235",2,2.28,5.7,27,3,330,2,60
"S0235",3,2.28,5.6,30,2,175,1,60
"S0235",4,2.48,5.4,28,6,260,3,57
"S0236",1,2.57,7.3,28,3,100,3,78
"S0236",2,2.39,7.1,10,1,100,3,77
"S0236",3,2.59,6.9,25,3,75,3,80
"S0236",4,2.7,7.1,12,5,70,0,74
"S0237",1,2.8,6,2,3,135,3,54
"S0237",2,2.71,5.9,16,1,155,2,68
"S0237",3,2.64,5.7,11,0,,5,63
"S0237",4,2.98,6.4,,3,165,5,66
"S0238",1,3.3,7.1,21,1,270,13,61
"S0238",2,3.07,7.3,27,1,185,8,67
"S0239",1,3.07,6.6,21,4,0,0,57
"S0239",2,3.02,6.5,18,2,0,1,72
"S0239",3,2.87,6.3,13,2,0,2,54
"S0239",4,3.27,7.2,16,3,0,1,59
"S0240",1,2.62,8,24,4,100,1,57
"S0240",2,3.2,6.7,19,6,90,5,54
"S0241",1,2.9,5,47,1,270,2,32
"S0241",2,3.02,4.9,40,1,315,4,44
"S0241",3,2.82,4.2,49,1,405,5,32
"S0241",4,2.87,4.9,45,0,290,4,38
"S0242",1,3.37,,2,3,145,5,65
"S0242",2,3.11,6.4,2,1,100,1,67
"S0242",3,3.34,7.2,5,4,135,4,61
"S0242",4,3.11,6.9,2,2,140,9,71
"S0243",1,3.35,6.9,31,2,120,2,77
"S0243",2,3.42,6.8,28,1,110,2,82
"S0243",3,3.89,6.8,31,4,175,5,80
"S0243",4,3.61,6.5,29,5,175,5,79
"S0244",1,3.34,8.3,19,7,110,10,60
"S0244",2,3.63,8.2,32,4,65,3,55
"S0244",3,3.73,7.9,26,5,90,8,62
"S0244",4,3.86,8.4,25,5,60,6,50
"S0245",1,3.01,7,6,5,135,3,67
"S0245",2,2.91,6.8,10,0,135,10,68
"S0245",3,2.75,6.6,15,3,170,7,75
"S0245",4,2.93,7.3,9,1,100,6,73
"S0246",1,3.15,4.8,37,4,220,6,56
"S0246",2,3.19,5.6,46,1,335,2,58
"S0246",3,3.17,5.6,46,1,300,4,62
"S0246",4,2.93,4.2,42,3,305,4,60
"S0247",1,2.81,5.4,2,3,255,4,47
"S0247",2,3.04,6.1,3,3,260,3,61
"S0247",3,2.69,5.5,6,2,275,1,55
"S0247",4,2.63,5.8,5,3,225,4,56
"S0248",1,2.76,7,28,2,155,4,62
"S0248",2,2.71,7.5,11,3,155,4,66
"S0248",3,2.94,8,25,0,150,5,61
"S0248",4,2.92,7.1,,4,180,3,57
"S0249",1,2.7,5.7,40,2,185,5,39
"S0249",2,2.49,4.9,48,3,250,3,45
"S0249",3,2.86,4.9,50,3,310,4,41
"S0249",4,2.75,5.6,47,0,295,5,41
"S0250",1,2.6,6.3,15,1,150,2,47
"S0250",2,2.92,6.6,20,0,155,4,45
"S0250",3,3.02,6.8,23,2,170,9,47
"S0250",4,2.67,6.8,17,1,155,1,48
"S0251",1,2.54,6.4,24,4,200,5,60
"S0251",2,2.69,6.8,23,4,275,1,65
"S0251",3,2.94,7.7,22,1,185,8,55
"S0251",4,3.15,7.7,22,2,175,1,64
"S0252",1,3.11,5.6,34,2,130,9,78
"S0252",2,3.44,5.8,41,2,95,6,80
"S0252",3,3.39,6,39,2,100,6,86
"S0252",4,3.43,5.4,46,0,90,6,76
"S0253",1,3.49,7.5,21,2,140,3,55
"S0253",2,2.94,7.1,22,3,110,3,62
"S0253",3,3.65,7.9,26,2,145,8,74
"S0253",4,3.32,7.1,26,6,90,5,73
"S0254",1,3.44,5.9,46,5,350,1,64
"S0254",2,2.83,4.9,40,1,520,2,63
"S0254",3,3.01,6.4,39,5,245,3,65
"S0254",4,3.15,6,49,1,280,0,65
"S0255",1,2.55,7.1,5,3,145,2,66
"S0255",2,2.91,7.5,2,5,80,2,62
"S0255",3,2.62,6.5,3,7,105,6,57
"S0255",4,2.92,7.4,2,2,115,1,56
"S0256",1,2.92,5.3,39,0,410,3,30
"S0256",2,3.26,5.5,43,1,440,1,42
"S0256",3,2.87,5,34,0,320,1,39
"S0256",4,3.12,5.5,37,0,445,2,38
"S0257",1,2.8,7.3,29,3,230,2,63
"S0257",2,2.61,6.7,28,1,115,1,66
"S0257",3,3.13,6.8,32,0,155,1,69
"S0257",4,2.97,6.9,33,3,,5,62
"S0258",1,3.55,7.5,13,1,140,4,69
"S0258",2,2.96,8.6,2,3,105,2,73
"S0258",3,2.96,7.5,13,2,120,9,77
"S0258",4,3.52,7.6,5,2,105,7,64
"S0259",1,2.54,6.7,24,3,190,4,34
"S0259",2,2.39,6,15,2,160,3,38
"S0259",3,2.69,6.3,20,1,205,0,31
"S0259",4,2.33,7.2,10,1,145,3,47
"S0260",1,3.17,7.1,28,6,160,4,72
"S0260",2,2.72,7.4,36,6,295,5,80
"S0260",3,2.68,7.1,36,5,210,2,73
"S0260",4,3,6.9,39,4,205,4,79
"S0261",1,3.36,8.1,26,4,130,7,75
"S0261",2,3.53,8,27,7,120,8,77
"S0261",3,3.57,7.9,31,1,95,7,67
"S0261",4,3.44,8.1,23,5,135,2,61
"S0262",1,3.03,7.4,17,3,290,2,70
"S0262",2,3.31,7.5,13,1,175,5,78
"S0262",3,3.34,7.3,23,1,165,5,73
"S0262",4,3.39,7.4,17,5,250,3,66
"S0263",1,3.4,6.4,46,1,190,4,58
"S0263",2,2.86,5.5,43,0,130,0,66
"S0263",3,3.13,5.6,42,0,200,1,53
"S0263",4,3.25,5.6,36,0,255,2,55
"S0264",1,3.52,6.7,34,5,0,7,60
"S0264",2,3.74,6.6,36,3,0,6,64
"S0264",3,3.65,6.6,26,5,0,4,64
"S0264",4,3.81,7.1,30,5,0,2,71
"S0265",1,2.71,4.6,42,4,360,3,44
"S0265",2,2.74,4.5,46,1,310,4,46
"S0265",3,2.79,5.4,39,2,275,2,38
"S0265",4,2.71,4.9,44,2,225,1,40
"S0266",1,2.36,5.6,52,1,220,1,40
"S0266",2,2.25,5.7,46,2,245,0,34
"S0266",3,2.77,4.9,43,2,280,3,40
"S0266",4,2.26,5.9,52,1,325,2,39
"S0267",1,3.06,5.6,33,0,160,15,62
"S0267",2,2.83,5.2,35,1,200,9,56
"S0267",3,2.81,5.4,43,0,190,6,69
"S0267",4,2.84,5.8,35,1,155,6,69
"S0268",1,3.9,8.9,25,4,0,5,66
"S0268",2,3.59,8.8,25,3,0,4,79
"S0268",3,3.33,8.5,28,1,0,10,71
"S0268",4,3.16,7.4,24,0,0,3,68
"S0269",1,2.71,7.3,23,2,95,4,61
"S0269",2,2.59,6.9,18,7,45,3,69
"S0270",1,3.26,6.8,30,4,155,2,45
"S0270",2,2.9,6.7,,1,110,2,47
"S0271",1,2.51,6.7,15,4,115,1,42
"S0271",2,2.46,5.6,11,1,230,4,53
"S0271",3,2.57,6.5,17,4,180,1,51
"S0271",4,2.3,5.5,14,2,145,1,58
"S0272",1,3.12,5.7,29,0,205,1,62
"S0272",2,2.92,6.5,22,,235,2,65
"S0272",3,3.09,7.2,28,1,155,5,57
"S0272",4,3.14,6.5,22,1,150,3,52
"S0273",1,2.56,4.8,34,0,290,2,51
"S0273",2,2.45,5.2,33,0,325,2,64
"S0273",3,2.69,4.9,30,2,360,2,54
"S0273",4,2.79,5.1,26,1,290,4,52
"S0274",1,3.05,6.3,26,6,260,4,62
"S0274",2,3.38,6.6,17,1,185,0,65
"S0274",3,3.2,5.8,20,3,250,3,56
"S0274",4,3.01,6.1,14,1,175,1,54
"S0275",1,3.03,8,28,1,145,5,72
"S0275",2,3.42,8.2,29,3,215,3,72
"S0275",3,3.31,7.9,29,6,170,4,71
"S0275",4,3.24,7.5,35,2,165,3,69
"S0276",1,3.04,6.2,15,2,50,7,35
"S0276",2,2.44,6.7,3,2,85,2,42
"S0276",3,2.5,7,7,2,65,5,38
"S0276",4,2.64,6.5,7,4,80,2,49
"S0277",1,3.16,,,5,160,4,76
"S0277",2,3.2,6.9,20,7,185,5,73
"S0277",3,3.22,7.5,25,3,145,6,69
"S0277",4,3.33,6.9,27,5,175,3,67
"S0278",1,2.96,4.8,35,1,365,7,44
"S0278",2,3.15,5.9,32,0,205,2,48
"S0278",3,3.08,6.1,30,3,360,6,59
"S0278",4,3.04,5.7,27,1,410,1,46
"S0279",1,3.36,6.6,14,3,185,4,54
"S0279",2,2.69,5.9,14,4,170,3,50
"S0279",3,3.08,6.6,19,1,210,11,58
"S0279",4,2.99,6.8,17,1,195,4,62
"S0280",1,3.73,6.7,29,2,80,2,79
"S0280",2,3.72,6.4,27,4,95,3,74
"S0280",3,3.67,7.4,25,5,,8,88
"S0280",4,3.42,7.1,27,3,80,3,84
"S0281",1,2.9,6.8,20,2,240,6,75
"S0281",2,3.11,7,9,5,215,6,71
"S0281",3,2.69,7,10,3,165,5,73
"S0281",4,3.11,6.8,11,3,180,6,69
"S0282",1,2.89,5.2,17,1,150,3,65
"S0282",2,2.22,5.2,10,1,90,2,75
"S0282",3,2.92,5.7,13,2,125,2,70
"S0282",4,2.7,5.7,7,4,85,4,66
"S0283",1,3.07,6.5,10,2,175,7,51
"S0283",2,2.77,6.1,6,1,165,4,67
"S0283",3,3.03,6.7,10,1,140,3,62
"S0283",4,2.83,6.3,7,2,170,7,64
"S0284",1,3.21,7.9,21,2,95,6,69
"S0284",2,3.09,7.1,27,1,85,6,66
"S0284",3,3.41,7.4,24,4,115,7,65
"S0284",4,3.11,7.2,19,0,130,6,56
"S0285",1,3.06,7.3,20,3,205,1,57
"S0285",2,2.57,6.6,24,2,145,0,44
"S0285",3,2.88,7.3,21,3,205,0,51
"S0285",4,3.34,6.8,23,2,200,3,49
"S0286",1,2.72,6.2,14,4,70,2,74
"S0286",2,2.74,6.4,11,2,65,4,72
"S0287",1,3.11,6.1,25,7,340,1,41
"S0287",2,3.19,6.4,33,4,475,2,49
"S0287",3,3.14,6.8,26,2,295,7,48
"S0287",4,3.19,6.4,27,3,395,5,57
"S0288",1,2.99,6.4,11,2,205,2,56
"S0288",2,2.58,6.1,7,3,230,5,52
"S0288",3,3.15,7,14,2,200,1,46
"S0288",4,3.05,6.2,16,3,160,2,51
"S0289",1,3.36,7.1,21,2,170,6,73
"S0289",2,3.28,,17,3,155,7,62
"S0289",3,3.44,7.2,22,2,150,4,74
"S0289",4,3.08,7.2,19,2,185,9,83
"S0290",1,3.02,7.5,12,2,120,1,88
"S0290",2,3.21,7.8,15,2,105,7,76
