"student_id","supervisor_id","age","gender","faculty","programme","study_mode","employment","has_children","lives_away","financial_worry","workshop","workshop_sessions","considering_dropout"
"S0258","SUP064",26,"Female","Education","Master's","Full-time","Part-time job","No","No",3,"Not invited",0,"No"
"S0259","SUP037",40,"Female","Health Sciences","PhD","Part-time","Full-time job","Yes","Yes",3,"Not invited",0,"Yes"
"S0260","SUP026",41,"Male","Humanities","PhD","Full-time","None","Yes","No",3,"Invited",5,"No"
"S0261","SUP014",30,"Male","Education","Master's","Full-time","None","No","No",3,"Not invited",0,"No"
"S0262","SUP005",32,"Female","Education","Master's","Part-time","Part-time job","No","No",1,"Invited",4,"No"
"S0263","SUP047",39,"Female","Social Sciences","PhD","Part-time","Part-time job","No","Yes",3,"Invited",6,"No"
"S0264","SUP056",35,"Male","Social Sciences","PhD","Part-time","Part-time job","Yes","No",3,"Not invited",0,"No"
"S0265","SUP071",32,"Female","Natural Sciences","PhD","Full-time","None","No","No",3,"Not invited",0,"Yes"
"S0266","SUP012",35,"Female","Education","PhD","Part-time","Full-time job","No","No",1,"Not invited",0,"No"
"S0267","SUP021",25,"Male","Health Sciences","Master's","Part-time","Part-time job","No","No",3,"Invited",2,"Yes"
"S0268","SUP095",31,"Female","Social Sciences","PhD","Full-time","Part-time job","No","No",3,"Not invited",0,"No"
"S0269","SUP013",24,"Female","Social Sciences","Master's","Full-time","None","No","Yes",3,"Not invited",0,"Yes"
"S0270","SUP105",27,"Female","Social Sciences","Master's","Full-time","Part-time job","Yes","Yes",5,"Not invited",0,"Yes"
"S0271","SUP062",26,"Male","Education","Master's","Full-time","None","No","No",4,"Invited",5,"No"
"S0272","SUP090",33,"Female","Health Sciences","Master's","Full-time","None","No","Yes",1,"Invited",0,"No"
"S0273","SUP052",47,"Female","Natural Sciences","PhD","Full-time","None","Yes","No",4,"Not invited",0,"No"
"S0274","SUP051",29,"Male","Humanities","Master's","Part-time","None","No","No",2,"Invited",0,"No"
"S0275","SUP046",30,"Male","Education","Master's","Full-time","None","No","Yes",3,"Invited",6,"No"
"S0276","SUP001",32,"Female","Social Sciences","Master's","Full-time","Part-time job","No","Yes",2,"Invited",0,"No"
"S0277","SUP005",25,"Female","Education","Master's","Full-time","None","No","No",2,"Invited",0,"No"
"S0278","SUP043",36,"Male","Natural Sciences","PhD","Part-time","Full-time job","Yes","No",3,"Invited",6,"Yes"
"S0279","SUP062",28,"Male","Education","PhD","Full-time","None","No","Yes",,"Not invited",0,"No"
"S0280","SUP094",25,"Female","Humanities","Master's","Full-time","Part-time job","No","No",2,"Not invited",0,"No"
"S0281","SUP021",27,"Female","Health Sciences","Master's","Full-time","None","Yes","No",3,"Invited",2,"No"
"S0282","SUP068",29,"Male","Health Sciences","Master's","Full-time","None","No","No",3,"Not invited",0,"Yes"
"S0283","SUP063",27,"Female","Health Sciences","Master's","Full-time","None","No","Yes",3,"Invited",5,"No"
"S0284","SUP016",27,"Male","Humanities","Master's","Full-time","Part-time job","No","Yes",5,"Invited",0,"No"
"S0285","SUP049",29,"Male","Humanities","Master's","Part-time","Full-time job","No","No",3,"Not invited",0,"Yes"
"S0286","SUP002",40,"Female","Education","Master's","Full-time","Full-time job","Yes","Yes",5,"Invited",5,"Yes"
"S0287","SUP120",32,"Female","Health Sciences","Master's","Part-time","Full-time job","No","Yes",3,"Not invited",0,"No"
"S0288","SUP055",27,"Female","Education","Master's","Part-time","Part-time job","No","No",2,"Not invited",0,"No"
"S0289","SUP034",26,"Male","Health Sciences","Master's","Part-time","Part-time job","No","Yes",3,"Invited",0,"No"
"S0290","SUP003",34,"Male","Health Sciences","PhD","Full-time","Part-time job","No","No",1,"Not invited",0,"No"
"S0291","SUP119",32,"Female","Social Sciences","Master's","Full-time","None","No","No",5,"Not invited",0,"No"
"S0292","SUP064",30,"Male","Education","Master's","Full-time","None","No","No",3,"Invited",2,"No"
"S0293","SUP016",32,"Female","Humanities","PhD","Full-time","Part-time job","No","No",2,"Invited",2,"No"
"S0294","SUP119",25,"Male","Social Sciences","Master's","Full-time","Part-time job","No","No",3,"Invited",0,"No"
"S0295","SUP056",28,"Female","Social Sciences","Master's","Full-time","None","No","No",2,"Not invited",0,"Yes"
"S0296","SUP035",29,"Female","Education","Master's","Part-time","None","No","No",4,"Invited",6,"No"
"S0297","SUP050",29,"Male","Humanities","Master's","Full-time","None","No","Yes",4,"Invited",5,"No"
"S0298","SUP097",34,"Male","Education","Master's","Full-time","None","Yes","No",3,"Not invited",0,"No"
"S0299","SUP107",25,"Female","Social Sciences","Master's","Full-time","Part-time job","No","No",3,"Invited",6,"No"
"S0300","SUP053",26,"Female","Natural Sciences","Master's","Part-time","Part-time job","Yes","No",3,"Not invited",0,"No"
"S0301","SUP091",27,"Female","Education","Master's","Full-time","Part-time job","No","No",4,"Not invited",0,"Yes"
"S0302","SUP087",32,"Female","Health Sciences","PhD","Full-time","None","No","No",3,"Not invited",0,"No"
"S0303","SUP064",27,"Female","Education","Master's","Full-time","Part-time job","Yes","No",2,"Not invited",0,"No"
"S0304","SUP077",27,"Male","Health Sciences","Master's","Full-time","Part-time job","No","Yes",5,"Not invited",0,"No"
"S0305","SUP011",24,"Male","Education","Master's","Full-time","None","Yes","No",4,"Invited",2,"No"
"S0306","SUP080",25,"Male","Education","Master's","Full-time","Part-time job","No","No",3,"Invited",4,"Yes"
"S0307","SUP029",28,"Female","Social Sciences","PhD","Full-time","None","No","No",2,"Not invited",0,"No"
"S0308","SUP087",31,"Male","Health Sciences","Master's","Full-time","None","Yes","Yes",5,"Invited",5,"Yes"
"S0309","SUP108",26,"Female","Humanities","Master's","Part-time","Full-time job","No","No",3,"Not invited",0,"No"
"S0310","SUP005",23,"Female","Education","Master's","Part-time","Part-time job","No","No",3,"Not invited",0,"No"
"S0311","SUP098",27,"Female","Health Sciences","Master's","Full-time","None","No","No",3,"Not invited",0,"No"
"S0312","SUP059",24,"Male","Education","Master's","Part-time","None","No","No",3,"Not invited",0,"No"
"S0313","SUP056",29,"Female","Social Sciences","Master's","Full-time","None","Yes","Yes",3,"Not invited",0,"No"
"S0314","SUP015",26,"Female","Social Sciences","Master's","Part-time","Full-time job","No","Yes",1,"Not invited",0,"No"
"S0315","SUP110",28,"Male","Health Sciences","Master's","Part-time","None","Yes","No",4,"Not invited",0,"Yes"
"S0316","SUP055",28,"Female","Education","Master's","Full-time","Full-time job","No","No",1,"Invited",3,"No"
"S0317","SUP033",23,"Female","Natural Sciences","Master's","Full-time","None","No","Yes",4,"Invited",4,"No"
"S0318","SUP080",28,"Male","Education","Master's","Full-time","None","No","No",1,"Not invited",0,"No"
"S0319","SUP078",30,"Female","Education","PhD","Full-time","Part-time job","No","Yes",3,"Invited",1,"No"
"S0320","SUP053",34,"Female","Natural Sciences","PhD","Part-time","Full-time job","Yes","No",3,"Not invited",0,"No"
"S0321","SUP118",26,"Female","Social Sciences","Master's","Part-time","Full-time job","Yes","No",3,"Not invited",0,"No"
"S0322","SUP058",24,"Female","Social Sciences","Master's","Full-time","Part-time job","Yes","Yes",,"Not invited",0,"No"
"S0323","SUP001",25,"Female","Social Sciences","Master's","Full-time","None","Yes","No",3,"Not invited",0,"No"
"S0324","SUP063",34,"Male","Health Sciences","Master's","Full-time","None","Yes","No",2,"Not invited",0,"No"
"S0325","SUP009",32,"Female","Education","Master's","Full-time","None","No","Yes",5,"Invited",0,"No"
"S0326","SUP029",32,"Male","Social Sciences","PhD","Part-time","Part-time job","Yes","Yes",4,"Not invited",0,"No"
"S0327","SUP095",34,"Male","Social Sciences","Master's","Full-time","Part-time job","No","No",3,"Invited",3,"No"
"S0328","SUP009",28,"Male","Education","PhD","Full-time","Part-time job","Yes","No",3,"Not invited",0,"No"
"S0329","SUP012",27,"Male","Education","Master's","Full-time","None","No","Yes",4,"Invited",0,"Yes"
"S0330","SUP103",36,"Male","Humanities","PhD","Full-time","None","Yes","Yes",3,"Invited",5,"No"
"S0331","SUP004",28,"Male","Education","Master's","Full-time","Part-time job","No","No",3,"Not invited",0,"No"
"S0332","SUP018",30,"Male","Natural Sciences","Master's","Part-time","Part-time job","No","Yes",1,"Not invited",0,"No"
"S0333","SUP094",28,"Female","Humanities","Master's","Full-time","None","No","No",1,"Not invited",0,"No"
"S0334","SUP015",30,"Male","Social Sciences","Master's","Part-time","Full-time job","No","Yes",3,"Not invited",0,"No"
"S0335","SUP014",26,"Female","Education","Master's","Full-time","None","No","No",3,"Invited",4,"No"
"S0336","SUP081",29,"Female","Humanities","Master's","Part-time","Full-time job","No","Yes",3,"Invited",1,"Yes"
"S0337","SUP021",30,"Male","Health Sciences","Master's","Full-time","None","No","Yes",3,"Not invited",0,"No"
"S0338","SUP113",26,"Male","Education","Master's","Full-time","Part-time job","No","Yes",3,"Not invited",0,"No"
"S0339","SUP102",30,"Female","Natural Sciences","PhD","Full-time","None","No","Yes",5,"Invited",5,"No"
"S0340","SUP119",25,"Male","Social Sciences","Master's","Full-time","None","No","Yes",1,"Not invited",0,"No"
"S0341","SUP056",25,"Female","Social Sciences","Master's","Full-time","Part-time job","No","No",1,"Not invited",0,"No"
"S0342","SUP009",35,"Male","Education","PhD","Full-time","Part-time job","No","Yes",3,"Invited",0,"No"
"S0343","SUP091",24,"Female","Education","Master's","Full-time","None","No","No",4,"Invited",5,"Yes"
"S0344","SUP102",26,"Female","Natural Sciences","Master's","Full-time","Part-time job","No","Yes",2,"Not invited",0,"No"
"S0345","SUP074",24,"Male","Health Sciences","Master's","Full-time","None","No","No",3,"Not invited",0,"No"
"S0346","SUP049",42,"Female","Humanities","PhD","Full-time","Part-time job","Yes","No",5,"Not invited",0,"No"
"S0347","SUP005",29,"Male","Education","Master's","Full-time","None","No","Yes",,"Not invited",0,"No"
"S0348","SUP048",32,"Female","Humanities","PhD","Part-time","Part-time job","No","Yes",3,"Not invited",0,"No"
"S0349","SUP030",29,"Male","Humanities","Master's","Full-time","Part-time job","No","No",1,"Invited",3,"No"
"S0350","SUP075",36,"Female","Health Sciences","Master's","Part-time","Part-time job","Yes","Yes",4,"Invited",2,"No"
"S0351","SUP090",27,"Female","Health Sciences","Master's","Full-time","None","No","No",1,"Not invited",0,"No"
"S0352","SUP013",31,"Female","Social Sciences","Master's","Full-time","Full-time job","No","No",1,"Not invited",0,"No"
"S0353","SUP115",27,"Male","Social Sciences","Master's","Full-time","None","No","Yes",5,"Not invited",0,"Yes"
"S0354","SUP063",32,"Female","Health Sciences","PhD","Part-time","Full-time job","No","Yes",2,"Not invited",0,"No"
"S0355","SUP029",27,"Female","Social Sciences","Master's","Full-time","None","No","No",1,"Invited",5,"No"
"S0356","SUP075",34,"Female","Health Sciences","Master's","Part-time","Full-time job","No","No",3,"Not invited",0,"No"
"S0357","SUP119",35,"Female","Social Sciences","PhD","Full-time","None","No","No",,"Invited",1,"No"
"S0358","SUP037",26,"Male","Health Sciences","Master's","Full-time","None","No","Yes",5,"Invited",5,"No"
"S0359","SUP096",31,"Female","Social Sciences","PhD","Full-time","Part-time job","No","No",1,"Invited",3,"No"
"S0360","SUP048",25,"Male","Humanities","Master's","Part-time","Part-time job","No","No",4,"Invited",0,"No"
"S0361","SUP046",28,"Male","Education","Master's","Full-time","None","No","Yes",5,"Invited",2,"No"
"S0362","SUP066",25,"Female","Humanities","Master's","Full-time","None","No","No",4,"Not invited",0,"No"
"S0363","SUP044",32,"Male","Natural Sciences","PhD","Full-time","None","No","No",1,"Not invited",0,"No"
"S0364","SUP014",24,"Male","Education","Master's","Full-time","Part-time job","No","Yes",3,"Not invited",0,"No"
"S0365","SUP117",25,"Female","Natural Sciences","Master's","Full-time","None","No","Yes",3,"Invited",3,"No"
"S0366","SUP098",24,"Male","Health Sciences","Master's","Part-time","Full-time job","No","Yes",1,"Not invited",0,"No"
"S0367","SUP083",28,"Female","Natural Sciences","Master's","Full-time","Part-time job","No","No",3,"Invited",1,"No"
"S0368","SUP006",33,"Female","Natural Sciences","PhD","Part-time","Full-time job","No","No",,"Not invited",0,"No"
"S0369","SUP110",32,"Male","Health Sciences","Master's","Full-time","Part-time job","No","No",1,"Invited",4,"No"
"S0370","SUP059",34,"Female","Education","Master's","Part-time","Full-time job","No","No",,"Invited",2,"No"
"S0371","SUP118",29,"Male","Social Sciences","Master's","Full-time","None","No","No",2,"Invited",6,"No"
"S0372","SUP038",26,"Male","Health Sciences","Master's","Part-time","Part-time job","No","Yes",3,"Invited",5,"No"
"S0373","SUP041",36,"Female","Natural Sciences","PhD","Full-time","Part-time job","Yes","No",,"Not invited",0,"No"
"S0374","SUP048",24,"Female","Humanities","Master's","Full-time","Full-time job","No","No",1,"Invited",3,"No"
"S0375","SUP005",25,"Female","Education","Master's","Full-time","None","Yes","Yes",,"Not invited",0,"No"
"S0376","SUP011",30,"Male","Education","Master's","Part-time","Full-time job","No","No",2,"Not invited",0,"No"
"S0377","SUP094",27,"Female","Humanities","Master's","Full-time","Part-time job","No","Yes",1,"Invited",5,"No"
"S0378","SUP116",29,"Female","Education","Master's","Part-time","Full-time job","No","No",1,"Invited",5,"No"
"S0379","SUP102",29,"Female","Natural Sciences","PhD","Full-time","None","No","Yes",4,"Invited",6,"No"
"S0380","SUP106",26,"Female","Natural Sciences","Master's","Full-time","None","No","Yes",4,"Not invited",0,"No"
"S0381","SUP021",30,"Female","Health Sciences","PhD","Part-time","None","No","Yes",3,"Not invited",0,"Yes"
"S0382","SUP089",29,"Male","Health Sciences","Master's","Full-time","None","No","No",3,"Invited",6,"No"
"S0383","SUP099",27,"Female","Natural Sciences","Master's","Full-time","None","No","Yes",4,"Not invited",0,"No"
"S0384","SUP042",26,"Female","Humanities","Master's","Part-time","Full-time job","Yes","No",,"Not invited",0,"Yes"
"S0385","SUP055",26,"Male","Education","Master's","Part-time","Full-time job","No","No",,"Not invited",0,"Yes"
"S0386","SUP061",33,"Male","Social Sciences","PhD","Full-time","Part-time job","No","No",2,"Invited",0,"No"
"S0387","SUP095",28,"Male","Social Sciences","Master's","Full-time","Part-time job","Yes","Yes",3,"Not invited",0,"No"
"S0388","SUP036",29,"Female","Education","Master's","Full-time","None","No","Yes",,"Not invited",0,"No"
"S0389","SUP062",26,"Male","Education","Master's","Full-time","None","No","No",4,"Not invited",0,"No"
"S0390","SUP070",25,"Male","Education","Master's","Full-time","None","No","No",4,"Invited",1,"No"
"S0391","SUP032",39,"Female","Natural Sciences","PhD","Part-time","None","No","Yes",3,"Not invited",0,"No"
"S0392","SUP076",25,"Male","Humanities","Master's","Full-time","None","No","No",3,"Invited",3,"No"
"S0393","SUP019",32,"Female","Health Sciences","Master's","Part-time","None","No","No",,"Invited",1,"No"
"S0394","SUP073",31,"Female","Social Sciences","Master's","Full-time","None","No","Yes",4,"Invited",4,"Yes"
"S0395","SUP005",38,"Female","Education","PhD","Part-time","Full-time job","Yes","Yes",4,"Not invited",0,"Yes"
"S0396","SUP068",29,"Female","Health Sciences","Master's","Full-time","None","No","No",1,"Not invited",0,"Yes"
"S0397","SUP092",32,"Female","Education","PhD","Full-time","None","No","No",2,"Invited",5,"No"
"S0398","SUP059",24,"Female","Education","Master's","Full-time","None","No","No",3,"Not invited",0,"No"
"S0399","SUP102",30,"Male","Natural Sciences","Master's","Full-time","Part-time job","No","No",2,"Not invited",0,"No"
"S0400","SUP073",30,"Female","Social Sciences","Master's","Full-time","None","No","Yes",4,"Invited",0,"No"
"S0401","SUP046",33,"Male","Education","Master's","Full-time","Part-time job","Yes","No",2,"Invited",4,"No"
"S0402","SUP079",33,"Female","Social Sciences","PhD","Full-time","Part-time job","No","No",2,"Not invited",0,"No"
"S0403","SUP054",35,"Male","Health Sciences","PhD","Full-time","None","Yes","Yes",4,"Invited",6,"Yes"
"S0404","SUP102",27,"Female","Natural Sciences","Master's","Full-time","None","No","Yes",4,"Invited",6,"No"
"S0405","SUP003",34,"Female","Health Sciences","Master's","Part-time","Part-time job","Yes","No",1,"Not invited",0,"No"
"S0406","SUP015",27,"Male","Social Sciences","Master's","Full-time","None","No","Yes",5,"Not invited",0,"No"
"S0407","SUP076",27,"Female","Humanities","Master's","Part-time","None","No","No",2,"Invited",1,"No"
"S0408","SUP119",27,"Female","Social Sciences","Master's","Full-time","Part-time job","Yes","No",2,"Not invited",0,"No"
"S0409","SUP020",28,"Male","Education","Master's","Full-time","Part-time job","Yes","No",2,"Invited",4,"No"
"S0410","SUP006",25,"Female","Natural Sciences","Master's","Full-time","None","No","No",1,"Not invited",0,"Yes"
"S0411","SUP021",31,"Male","Health Sciences","PhD","Part-time","Part-time job","No","No",1,"Not invited",0,"No"
"S0412","SUP077",28,"Male","Health Sciences","Master's","Part-time","Full-time job","No","No",4,"Invited",5,"Yes"
"S0413","SUP066",25,"Female","Humanities","Master's","Part-time","Part-time job","No","No",1,"Not invited",0,"No"
"S0414","SUP014",28,"Female","Education","Master's","Full-time","None","No","No",3,"Not invited",0,"Yes"
"S0415","SUP078",30,"Female","Education","PhD","Full-time","None","No","Yes",4,"Not invited",0,"No"
"S0416","SUP013",44,"Female","Social Sciences","Master's","Part-time","Part-time job","No","Yes",3,"Not invited",0,"Yes"
"S0417","SUP051",28,"Male","Humanities","Master's","Full-time","None","No","No",3,"Invited",3,"No"
"S0418","SUP081",26,"Female","Humanities","Master's","Part-time","Full-time job","No","Yes",2,"Invited",0,"No"
"S0419","SUP087",29,"Female","Health Sciences","PhD","Full-time","Part-time job","No","No",3,"Not invited",0,"Yes"
"S0420","SUP017",24,"Female","Health Sciences","Master's","Full-time","None","No","No",2,"Invited",5,"No"
"S0421","SUP052",38,"Male","Natural Sciences","Master's","Part-time","Part-time job","Yes","Yes",4,"Not invited",0,"Yes"
"S0422","SUP045",27,"Female","Natural Sciences","Master's","Full-time","None","No","Yes",,"Not invited",0,"No"
"S0423","SUP096",30,"Male","Social Sciences","Master's","Full-time","None","No","No",4,"Not invited",0,"No"
"S0424","SUP102",28,"Female","Natural Sciences","Master's","Part-time","Full-time job","No","Yes",3,"Invited",3,"No"
"S0425","SUP077",28,"Female","Health Sciences","Master's","Full-time","None","No","No",3,"Invited",2,"No"
"S0426","SUP080",29,"Female","Education","Master's","Full-time","Part-time job","No","No",4,"Invited",5,"No"
"S0427","SUP075",31,"Male","Health Sciences","Master's","Full-time","None","No","No",3,"Invited",5,"No"
"S0428","SUP018",42,"Female","Natural Sciences","PhD","Full-time","Part-time job","No","Yes",3,"Not invited",0,"No"
"S0429","SUP067",28,"Female","Humanities","Master's","Part-time","Part-time job","No","No",3,"Not invited",0,"No"
"S0430","SUP017",31,"Male","Health Sciences","PhD","Full-time","Part-time job","No","Yes",3,"Invited",4,"No"
"S0431","SUP119",29,"Male","Social Sciences","Master's","Full-time","None","No","No",2,"Invited",5,"No"
"S0432","SUP117",27,"Female","Natural Sciences","Master's","Full-time","Full-time job","No","No",1,"Not invited",0,"No"
"S0433","SUP038",24,"Female","Health Sciences","Master's","Full-time","None","No","Yes",3,"Not invited",0,"No"
"S0434","SUP116",24,"Female","Education","Master's","Full-time","None","No","No",4,"Invited",2,"No"
"S0435","SUP086",30,"Female","Natural Sciences","PhD","Part-time","Part-time job","No","No",3,"Invited",0,"No"
"S0436","SUP115",28,"Male","Social Sciences","Master's","Full-time","Part-time job","No","No",2,"Not invited",0,"No"
"S0437","SUP065",40,"Female","Social Sciences","PhD","Part-time","Full-time job","No","No",1,"Invited",5,"No"
"S0438","SUP071",26,"Male","Natural Sciences","Master's","Full-time","Part-time job","No","No",1,"Invited",0,"No"
"S0439","SUP081",25,"Female","Humanities","Master's","Part-time","Part-time job","Yes","Yes",5,"Not invited",0,"No"
"S0440","SUP040",30,"Female","Education","Master's","Part-time","Part-time job","No","Yes",3,"Not invited",0,"No"
"S0441","SUP099",34,"Female","Natural Sciences","PhD","Part-time","Part-time job","Yes","Yes",3,"Invited",5,"No"
"S0442","SUP014",32,"Male","Education","PhD","Full-time","Part-time job","No","No",4,"Invited",5,"No"
"S0443","SUP116",36,"Male","Education","PhD","Full-time","None","Yes","No",3,"Invited",2,"No"
"S0444","SUP051",39,"Male","Humanities","PhD","Part-time","None","Yes","No",4,"Not invited",0,"No"
"S0445","SUP003",27,"Male","Health Sciences","Master's","Full-time","Part-time job","No","No",2,"Invited",5,"No"
"S0446","SUP063",27,"Female","Health Sciences","Master's","Full-time","None","No","Yes",4,"Invited",1,"Yes"
"S0447","SUP043",37,"Male","Natural Sciences","Master's","Part-time","Full-time job","No","Yes",1,"Not invited",0,"No"
"S0448","SUP007",29,"Male","Natural Sciences","Master's","Full-time","Part-time job","Yes","No",4,"Not invited",0,"No"
"S0449","SUP038",26,"Male","Health Sciences","Master's","Part-time","Full-time job","No","Yes",4,"Invited",3,"No"
"S0450","SUP096",24,"Male","Social Sciences","Master's","Full-time","None","No","No",2,"Not invited",0,"No"
"S0451","SUP072",28,"Female","Health Sciences","PhD","Full-time","None","Yes","Yes",5,"Not invited",0,"Yes"
"S0452","SUP120",25,"Male","Health Sciences","Master's","Full-time","None","No","Yes",4,"Invited",4,"No"
"S0453","SUP065",24,"Male","Social Sciences","Master's","Part-time","Full-time job","No","No",2,"Not invited",0,"No"
"S0454","SUP009",27,"Female","Education","Master's","Full-time","None","No","Yes",2,"Invited",0,"No"
"S0455","SUP029",32,"Male","Social Sciences","Master's","Full-time","None","No","No",2,"Invited",3,"No"
"S0456","SUP049",31,"Male","Humanities","Master's","Full-time","Part-time job","Yes","Yes",3,"Invited",3,"No"
"S0457","SUP079",25,"Male","Social Sciences","Master's","Full-time","None","No","Yes",5,"Not invited",0,"No"
"S0458","SUP106",30,"Male","Natural Sciences","PhD","Full-time","Part-time job","No","No",4,"Invited",3,"No"
"S0459","SUP111",25,"Male","Social Sciences","Master's","Full-time","None","Yes","Yes",5,"Not invited",0,"No"
"S0460","SUP082",29,"Male","Education","Master's","Part-time","Full-time job","No","Yes",2,"Invited",0,"No"
"S0461","SUP008",25,"Female","Social Sciences","Master's","Full-time","None","No","Yes",2,"Not invited",0,"No"
"S0462","SUP114",33,"Female","Natural Sciences","Master's","Full-time","Part-time job","No","Yes",2,"Invited",3,"No"
"S0463","SUP058",45,"Male","Social Sciences","PhD","Full-time","None","Yes","Yes",4,"Not invited",0,"No"
"S0464","SUP067",28,"Male","Humanities","Master's","Full-time","None","No","No",1,"Invited",6,"No"
"S0465","SUP096",26,"Male","Social Sciences","Master's","Full-time","None","No","Yes",3,"Invited",4,"Yes"
"S0466","SUP078",33,"Female","Education","PhD","Part-time","Full-time job","Yes","No",4,"Invited",6,"No"
"S0467","SUP035",28,"Male","Education","Master's","Full-time","None","No","No",2,"Invited",5,"No"
"S0468","SUP112",28,"Female","Health Sciences","Master's","Full-time","None","No","Yes",3,"Not invited",0,"No"
"S0469","SUP102",25,"Female","Natural Sciences","Master's","Part-time","Full-time job","No","Yes",1,"Not invited",0,"No"
"S0470","SUP105",26,"Female","Social Sciences","Master's","Part-time","Full-time job","No","No",2,"Invited",3,"No"
"S0471","SUP044",27,"Male","Natural Sciences","Master's","Full-time","None","No","No",1,"Invited",4,"No"
"S0472","SUP084",25,"Male","Social Sciences","Master's","Full-time","Full-time job","No","Yes",,"Not invited",0,"No"
"S0473","SUP102",44,"Male","Natural Sciences","PhD","Part-time","Full-time job","No","No",4,"Invited",3,"No"
"S0474","SUP037",38,"Female","Health Sciences","Master's","Full-time","None","Yes","Yes",5,"Not invited",0,"Yes"
"S0475","SUP062",33,"Female","Education","PhD","Full-time","None","No","Yes",3,"Invited",5,"No"
"S0476","SUP029",33,"Female","Social Sciences","Master's","Full-time","None","Yes","Yes",4,"Not invited",0,"No"
"S0477","SUP049",30,"Female","Humanities","PhD","Full-time","None","Yes","Yes",3,"Not invited",0,"No"
"S0478","SUP097",27,"Male","Education","Master's","Full-time","Part-time job","Yes","No",1,"Invited",4,"No"
"S0479","SUP027",37,"Female","Health Sciences","PhD","Part-time","Full-time job","No","No",2,"Not invited",0,"No"
"S0480","SUP034",31,"Female","Health Sciences","Master's","Full-time","None","No","No",2,"Not invited",0,"No"
"S0481","SUP071",25,"Male","Natural Sciences","Master's","Full-time","None","No","No",4,"Not invited",0,"No"
"S0482","SUP117",24,"Female","Natural Sciences","Master's","Full-time","Part-time job","No","No",2,"Invited",6,"No"
"S0483","SUP100",25,"Male","Health Sciences","Master's","Full-time","None","No","Yes",2,"Invited",1,"No"
"S0484","SUP014",33,"Female","Education","PhD","Full-time","None","No","Yes",4,"Not invited",0,"No"
"S0485","SUP083",28,"Female","Natural Sciences","Master's","Full-time","None","No","Yes",2,"Not invited",0,"No"
"S0486","SUP008",32,"Female","Social Sciences","Master's","Full-time","None","No","No",2,"Not invited",0,"No"
"S0487","SUP016",34,"Male","Humanities","Master's","Full-time","Part-time job","No","Yes",,"Not invited",0,"No"
"S0488","SUP065",26,"Female","Social Sciences","Master's","Full-time","None","No","No",3,"Not invited",0,"No"
"S0489","SUP038",27,"Female","Health Sciences","Master's","Full-time","None","No","No",1,"Invited",6,"No"
"S0490","SUP019",30,"Male","Health Sciences","PhD","Full-time","None","Yes","Yes",5,"Not invited",0,"No"
"S0491","SUP111",28,"Female","Social Sciences","PhD","Full-time","Part-time job","No","Yes",2,"Invited",5,"No"
"S0492","SUP008",25,"Male","Social Sciences","Master's","Part-time","Full-time job","No","Yes",5,"Invited",4,"Yes"
"S0493","SUP037",27,"Female","Health Sciences","Master's","Full-time","None","No","Yes",3,"Not invited",0,"No"
"S0494","SUP081",28,"Male","Humanities","Master's","Full-time","None","No","No",4,"Not invited",0,"No"
"S0495","SUP029",30,"Male","Social Sciences","Master's","Full-time","None","No","Yes",2,"Not invited",0,"No"
"S0496","SUP048",24,"Female","Humanities","Master's","Full-time","Part-time job","No","Yes",3,"Not invited",0,"No"
"S0497","SUP068",25,"Female","Health Sciences","Master's","Full-time","None","No","Yes",1,"Invited",2,"No"
"S0498","SUP052",26,"Female","Natural Sciences","Master's","Full-time","None","No","Yes",4,"Invited",5,"No"
"S0499","SUP025",26,"Female","Humanities","Master's","Full-time","Part-time job","No","Yes",4,"Not invited",0,"No"
"S0500","SUP011",29,"Female","Education","PhD","Full-time","None","No","No",2,"Invited",4,"No"
"S0501","SUP064",45,"Male","Education","PhD","Full-time","Part-time job","Yes","No",1,"Invited",5,"No"
"S0502","SUP071",31,"Male","Natural Sciences","Master's","Full-time","None","No","Yes",4,"Invited",4,"No"
"S0503","SUP073",24,"Female","Social Sciences","Master's","Full-time","None","No","No",2,"Invited",6,"No"
"S0504","SUP101",36,"Male","Humanities","PhD","Part-time","Part-time job","No","Yes",2,"Invited",0,"No"
"S0505","SUP005",29,"Female","Education","Master's","Full-time","None","No","Yes",4,"Not invited",0,"No"
"S0506","SUP049",27,"Female","Humanities","Master's","Part-time","Full-time job","Yes","No",3,"Invited",5,"Yes"
"S0507","SUP116",42,"Male","Education","PhD","Part-time","Part-time job","Yes","No",2,"Not invited",0,"No"
"S0508","SUP104",25,"Male","Education","Master's","Full-time","None","No","No",2,"Not invited",0,"No"
"S0509","SUP051",26,"Female","Humanities","Master's","Full-time","None","No","No",2,"Invited",5,"No"
"S0510","SUP060",26,"Male","Natural Sciences","Master's","Full-time","None","Yes","No",3,"Invited",6,"Yes"
"S0511","SUP093",31,"Female","Natural Sciences","Master's","Full-time","None","No","Yes",2,"Invited",6,"No"
"S0512","SUP060",25,"Male","Natural Sciences","Master's","Full-time","None","No","Yes",3,"Not invited",0,"No"
"S0513","SUP112",24,"Male","Health Sciences","Master's","Part-time","Part-time job","No","No",1,"Not invited",0,"No"
"S0514","SUP056",27,"Male","Social Sciences","Master's","Part-time","Part-time job","No","Yes",,"Not invited",0,"Yes"
"S0515","SUP082",25,"Female","Education","Master's","Full-time","None","No","No",,"Invited",1,"No"
